"id","task","answer","topics_id","text_of_solution"
499,"Из двух сел одновременно выехали навстречу друг другу два велосипедиста. Скорость одного из них 19,5 км/ч, а скорость второго составляет \( \frac{2}{3} \) скорости первого. Какое расстояние между селами, если велосипедисты встретились через 48 мин?","26",22,"NaN"
499,"Из двух сел одновременно выехали навстречу друг другу два велосипедиста. Скорость одного из них 19,5 км/ч, а скорость второго составляет \( \frac{2}{3} \) скорости первого. Какое расстояние между селами, если велосипедисты встретились через 48 мин?","26",11,"NaN"
763,"Переведите дроби в проценты: 1,01 ","101",29,"NaN"
781,"Переведите дроби в проценты: \( \frac{1}{3} \)","33,(3)",29,"NaN"
833,"Мальчик Гриша прочитал в первый день 30% всей книги, во второй − 40% оставшейся части, а в третий − оставшиеся 105 страниц. Сколько всего страниц было в книге? ","250",34,"NaN"
833,"Мальчик Гриша прочитал в первый день 30% всей книги, во второй − 40% оставшейся части, а в третий − оставшиеся 105 страниц. Сколько всего страниц было в книге? ","250",32,"NaN"
855,"Цена на проезд три раза увеличилась на 10%. На сколько процентов увеличилась цена по сравнению с первоначальной? ","33.1",34,"NaN"
855,"Цена на проезд три раза увеличилась на 10%. На сколько процентов увеличилась цена по сравнению с первоначальной? ","33.1",32,"NaN"
863,"В двух магазинах были одинаковые цены. В одном магазине их сначала понизили на 15%, а потом повысили на 10%, а в другом − сначала повысили на 10%, а потом понизили на 15%. В каком из магазинов выгоднее покупать товар? "," одинаково ",34,"NaN"
863,"В двух магазинах были одинаковые цены. В одном магазине их сначала понизили на 15%, а потом повысили на 10%, а в другом − сначала повысили на 10%, а потом понизили на 15%. В каком из магазинов выгоднее покупать товар? "," одинаково ",32,"NaN"
876,"Цена на акции выросла на 12%, потом упала на 16%, потом опять упала на 21%. Как и на сколько процентов изменилась цена акции по сравнению с первоначальной? ","уменьшилась на 23,9072",34,"NaN"
876,"Цена на акции выросла на 12%, потом упала на 16%, потом опять упала на 21%. Как и на сколько процентов изменилась цена акции по сравнению с первоначальной? ","уменьшилась на 23,9072",32,"NaN"
936,"Каждый из двух рабочих одинаковой квалификации может выполнить заказ за 12 часов. Через 4 часа после того, как один из них приступил к выполнению заказа, к нему присоединился второй рабочий, и работу над заказом они довели до конца уже вместе. За сколько часов был выполнен весь заказ?","8",37,"NaN"
936,"Каждый из двух рабочих одинаковой квалификации может выполнить заказ за 12 часов. Через 4 часа после того, как один из них приступил к выполнению заказа, к нему присоединился второй рабочий, и работу над заказом они довели до конца уже вместе. За сколько часов был выполнен весь заказ?","8",18,"NaN"
936,"Каждый из двух рабочих одинаковой квалификации может выполнить заказ за 12 часов. Через 4 часа после того, как один из них приступил к выполнению заказа, к нему присоединился второй рабочий, и работу над заказом они довели до конца уже вместе. За сколько часов был выполнен весь заказ?","8",16,"NaN"
940,"Из двух диаметрально противоположных точек круговой беговой дорожки одновременно в одном направлении стартовали два спортсмена. Первый пробегает полный круг за 15 мин, а второй – за 20 мин. Через какое время после старта они встретятся первый раз? В четвертый раз? Сформулируйте и решите задачу в случае движения в противоположных направлениях.","60",37,"NaN"
940,"Из двух диаметрально противоположных точек круговой беговой дорожки одновременно в одном направлении стартовали два спортсмена. Первый пробегает полный круг за 15 мин, а второй – за 20 мин. Через какое время после старта они встретятся первый раз? В четвертый раз? Сформулируйте и решите задачу в случае движения в противоположных направлениях.","60",18,"NaN"
940,"Из двух диаметрально противоположных точек круговой беговой дорожки одновременно в одном направлении стартовали два спортсмена. Первый пробегает полный круг за 15 мин, а второй – за 20 мин. Через какое время после старта они встретятся первый раз? В четвертый раз? Сформулируйте и решите задачу в случае движения в противоположных направлениях.","60",16,"NaN"
957,"Найдите значение выражения:  \((1\frac{2}{13}\cdot0,42+0,78\cdot1\frac{2}{13})\cdot1\frac{4}{9}:0,6-0,5\cdot5\frac{2}{3} \)","0.5",20,"NaN"
995,"Среднее арифметическое двух чисел равно 8,2. Одно из этих чисел равно 4,5. Найдите второе число.","11.9",38,"NaN"
995,"Среднее арифметическое двух чисел равно 8,2. Одно из этих чисел равно 4,5. Найдите второе число.","11.9",18,"NaN"
1005,"На сайте cbr.ru найдите архив курса доллара ЦБ РФ за прошлый месяц и вычислите (можно с помощью калькулятора) средний курс доллара за прошлый месяц.","NaN",38,"NaN"
1005,"На сайте cbr.ru найдите архив курса доллара ЦБ РФ за прошлый месяц и вычислите (можно с помощью калькулятора) средний курс доллара за прошлый месяц.","NaN",18,"NaN"
1047,"В семенах подсолнечника нового сорта содержится 49,5% масла. Сколько килограммов таких семян надо взять, чтобы в них содержалось 29,7 кг масла?","NaN",27,"NaN"
1083,"На отрезке AB взяты точки C и D так, что точка C лежит между точками   A и D, причем \(AC:CD:DB=3:5:11\). Найдите длины отрезков AC, CD, DB и AB, если CD короче DB на 7,2см.","NaN",40,"NaN"
1092,"Из вершины развернутого угла проведен луч, который делит его на углы, градусные меры которых относятся как \(1 : 8\). Найдите эти углы.","NaN",40,"NaN"
1096,"Из вершины прямого угла проведен луч, который делит его в отношении \(1 : 5\). Найдите больший угол.","NaN",40,"NaN"
1099,"Из вершины угла \(\angle ABC\) , градусная мера которого равна  \(100^{\circ}\),, проведен луч  ВМ так, что \(\angle ABM:\angle MBC=5:3\). Найдите углы \(\angle ABМ \) и \(\angle МBC\)","NaN",40,"NaN"
1168,"К стороне квадрата приставлен точно такой же квадрат так, что получился прямоугольник. Чему равно отношение  периметров прямоугольника и квадрата? ","NaN",40,"NaN"
1179,"Сумма трёх чисел равна 90. Произведения первого числа на 10, второго числа на 15 и третьего числа на 5 равны между собой. Найдите эти числа.","NaN",40,"NaN"
1183,"Приведите подобные слагаемые: \( 3z-7z \)","NaN",23,"\( 3z-7z=-4z \)"
1203,"Приведите подобные слагаемые: \( 25-x-2y+3x-5y \)","NaN",23,"\( 25-x-2y+3x-5y=-x+3x-2y-5y+25=4x-7y+25 \)"
1214,"Приведите подобные слагаемые: \( -t-t \)","NaN",23,"\( '-t-t=-2t \)"
1223,"Приведите подобные слагаемые: \( 2s-5a-17a+24s \)","NaN",23,"\( 2s-5a-17a+24s=2s+24s-5a-17a=26s-22a \)"
1235,"Приведите подобные слагаемые: \( 4k-88l+44l-9k \)","NaN",23,"\( 4k-88l+44l-9k=4k-9k+44l-88l=-5k-44l \)"
1239,"Приведите подобные слагаемые: \( 4s-6t-8y-8y-6t-44s \)","NaN",23,"\( 4s-6t-8y-8y-6t-44s=4s-44s-6t-6t-8y-8y=-40s-12t-16y=-4(10s+3t+4y) \)"
1254,"Приведите подобные слагаемые: \( -0,3a-a+2,1a \)","NaN",23,"\( '-0,3a-a+2,1a=1,4a \)"
1260,"Приведите подобные слагаемые: \( \frac{2}{7}x-\frac{4}{9}y-\frac{5}{14}x+\frac{2}{3}y \)","NaN",23,"\( \frac{2}{7}x-\frac{4}{9}y-\frac{5}{14}x+\frac{2}{3}y=\frac{2}{7}x-\frac{5}{14}x+\frac{2}{3}y-\frac{4}{9}y=-\frac{1}{14}x+\frac{2}{9}y \)"
1288,"Упростите выражение: \( 3m\cdot2n \)","NaN",23,"\( 3m\cdot2n=3\cdot2\cdot mn=6mn \)"
1289,"Упростите выражение: \( -2c\cdot(-0,4b) \)","NaN",23,"\( '-2c\cdot(-0,4b)=-2\cdot(-0,4)\cdot cb=0,8cb \)"
1296,"Упростите выражение: \( \frac{2}{15}m\cdot(\frac{-3}{4}n) \)","NaN",23,"\( \frac{2}{15}m\cdot(\frac{-3}{4}n)=\frac{2\cdot(-3)}{15\cdot4}mn=frac{-6}{60}mn=frac{-1}{10}mn=-0,1mn\)"
1313,"Упростите выражение: \( -1\frac{1}{2}b\cdot(-0,5)\cdot(-4c) \)","NaN",23,"\( '-1\frac{1}{2}b\cdot(-0,5)\cdot(-4c)=\frac{-3\cdot(-1)\cdot(-4)}{2\cdot2} bc= 3bc\)"
1314,"Упростите выражение: \( -a\cdot(-b)\cdot(-c)\cdot(-d) \)","NaN",23,"\( '-a\cdot(-b)\cdot(-c)\cdot(-d)=-1\cdot(-1)\cdot(-1)\cdot(-1)\cdot abcd=abcd  \)"
1336,"Раскройте скобки и приведите подобные слагаемые: \( 2(4x+1)+4(2x+6) \)","NaN",23,"\( 2(4x+1)+4(2x+6)=2\cdot4\cdot x+2\cdot1+4\cdot2\cdot x+4\cdot6=8x+2+8x+24=8x+8x+2+24=16x+26 \)"
1359,"Раскройте скобки со знаком минус: \( -2(x-y+5a) \)","NaN",23,"\( '-2(x-y+5a)=-2\cdot x-2\cdot (-y)-2\cdot 5\cdot a=-2x+2y-10a \)"
1380,"Раскройте скобки со знаком минус: \( -3(0,1x+5x+b-8) \)","NaN",23,"\( '-3(0,1x+5x+b-8)=-3\cdot0,1\cdot x-3\cdot5\cdot x-3\cdot b-3\cdot(-8)=-0,3x-15x-3b+24=-15,3x-3b+24 \)"
1383,"Раскройте скобки со знаком минус: \( -9(-7b+5z-12x) \)","NaN",23,"\( '-9(-7b+5z-12x)=-9\cdot(-7)\cdot b -9\cdot5\cdot z -9\cdot(-12)\cdot x=63b-45z+108x \)"
1599,"Найдите все натуральные значения \(n\), при которых заданная дробь является натуральным числом: \(\frac{2n+5}{n}\)","\(дробь \frac{2n+5}{n} является натуральным числом.\)",84," \(\frac{2n+5}{n}=\frac{2n}{n}+\frac{5}{n}=2+\frac{5}{n}; При n=1;5 дробь \frac{2n+5}{n} является натуральным числом.\)"
1618,"Найдите значение дроби: \(\frac{2x-6y}{0,25x^{2}-2,25y^{2}}\), если \(x+3y=8, x-3y \neq  0\)","1",84,"\(\frac{2x-6y}{0,25x^{2}-2,25y^{2}} = \frac{2(x-3y)}{0,25(x^{2}-9y^{2})}=\frac{2(x(x-3y)}{0,25(x-3y)(x+3y)}=\frac{8}{x+3y}; x+3y=8; x-3y \neq 0; \frac{8}{x+3y}=\frac{8}{8}=1\)"
1627,"Сократите дробь и выясните, изменилось ли в результате сокращения множество допустимых значений её переменных: \(\frac{2x}{x^{2}}\)","\(x \neq 0. Не изменилось\)",84,"\(\frac{2x}{x^{2}}=\frac{2 \cdot x}{x \cdot x}=\frac{2}{x}; Допустимые значения: x \neq 0. Не изменилось\)"
1644,"Найдите все пары \((x; y)\), при которых данная дробь не определена, и изобразите их на координатной плоскости: \(\frac{-3x}{x+2y}\)","\((-2t;t), где t - любое число\)",84,"\(\frac{-3x}{x+2y}; (-2t;t), где t - любое число\)"
1660,"Приведите к наименьшему общему знаменателю алгебраические дроби: \(\frac{m}{3n}\) и \(\frac{5}{6mn}\)","\(6mn\)",84,"\(\frac{m}{3n}=\frac{2m^{2}}{6m}; \frac{5}{6mn}\)"
1677,"Приведите к наименьшему общему знаменателю алгебраические дроби: \(\frac{b}{2a}\) и \(\frac{a+b}{a(a-b)}\)","\(2a(a-b)\)",84," \(\frac{b}{2a}=\frac{b(a-b)}{2a(a-b)}; \frac{a+b}{a(a-b)}=\frac{2(a+b)}{2a(a-b)}\)"
1679,"Приведите к наименьшему общему знаменателю алгебраические дроби: \(\frac{m-n}{m(m+n)}\) и \(\frac{n}{3m}\)","\(3m(m+n)\)",84,"\(\frac{m-n}{m(m+n)}=\frac{3(m-n)}{3m(m+n)}; \frac{n}{3m}=\frac{n(m+n)}{3m(m+n)}\)"
1686,"Приведите к наименьшему общему знаменателю алгебраические дроби: \(\frac{a-b}{b(a+b)}\) и \(\frac{4a}{b(a-b)}\)","\(b(a^{2}-b^{2})\)",84,"\(\frac{a-b}{b(a+b)}=\frac{(a-b)(a-b)}{b(a+b)(a-b)}=\frac{(a-b)^{2}}{b(a^{2}-b^{2})}; \frac{4a}{b(a-b)}=\frac{4a(a+b)}{b(a-b)(a+b)}=\frac{4a(a+b)}{b(a^{2}-b^{2})}\)"
1700,"Приведите к наименьшему общему знаменателю алгебраические дроби: \(\frac{3k}{-(l-k)^{2}}\) и \(\frac{8l}{(k-l)^{2}}\)","\((k-l)^{2}\)",84,"\(\frac{3k}{-(l-k)^{2}}=\frac{3k}{(k-l)^{2}}; \frac{8l}{(k-l)^{2}}\)"
2154,"Решите уравнение: \( 4x^{2}-28x+49=0 \).","\( x=3,5\)",64,"\( (2x+3)(3x+1)=11x+30 (2x-7)^{2}=0 2x-7=0 2x=7 x=3,5\)."
2770,"Привести к общему показателю корни: \(\sqrt[2n]{\frac{a+b}{x}};\sqrt[6]{\frac{a}{x+y}};\sqrt[3n]{\frac{a}{b}}\)","\(\sqrt[6n]{\left ( \frac{a+b}{x} \right )^{3}};\sqrt[6n]{\left ( \frac{a}{x+y} \right )^{n}};\sqrt[6n]{\left ( \frac{a}{b} \right )^{2}}\)",73,"\(\sqrt[2n]{\frac{a+b}{x}};\sqrt[6]{\frac{a}{x+y}};\sqrt[3n]{\frac{a}{b}}=\sqrt[2n\cdot 3]{\left ( \frac{a+b}{x} \right )^{3}};\sqrt[6\cdot n]{\left ( \frac{a}{x+y} \right )^{n}};\sqrt[3n\cdot 2]{\left ( \frac{a}{b} \right )^{2}}=\sqrt[6n]{\left ( \frac{a+b}{x} \right )^{3}};\sqrt[6n]{\left ( \frac{a}{x+y} \right )^{n}};\sqrt[6n]{\left ( \frac{a}{b} \right )^{2}}\)"
2776,"Привести к простейшей форме корень: \(5n^{x}\sqrt[3]{\frac{ab^{5}}{25n^{3x+1}}}\)","\(\frac{b\sqrt[3]{5ab^{2}n^{2}}}{{n}}\)",74,"\(5n^{x}\sqrt[3]{\frac{ab^{5}}{25n^{3x+1}}}=5n\frac{b\sqrt[3]{ab^{2}}}{n^{x}\sqrt[3]{25n}}=\frac{b\sqrt[3]{125ab^{2}}}{\sqrt[3]{25n}}=\frac{b\sqrt[3]{5ab^{2}}}{\sqrt[3]{n}}=\frac{b\sqrt[3]{5ab^{2}n^{2}}}{{n}}\)"
2779,"Привести к простейшей форме корень: \(\frac{a}{c}\sqrt{\frac{a^{3}b-4a^{2}b^{2}+4ab^{3}}{c^{2}}}\)","\(\frac{a\left ( a-2b \right )\sqrt{ab}}{c^{2}}\)",74,"\(\frac{a}{c}\sqrt{\frac{a^{3}b-4a^{2}b^{2}+4ab^{3}}{c^{2}}}=\frac{a}{c}\sqrt{\frac{ab\left ( a^{2}-4ab+4b^{2} \right )}{c^{2}}}=\frac{a}{c}\sqrt{\frac{ab\left ( a-2b \right )^{2}}{c^{2}}}=\frac{a\left ( a-2b \right )\sqrt{ab}}{c^{2}}\)"
2781,"Доказать подобие корней: \(\sqrt{63};\sqrt{28}\)","\(3\sqrt{7};2\sqrt{7}\)",75,"\(\sqrt{63};\sqrt{28}=\sqrt{9\cdot 7};\sqrt{4\cdot 7}=3\sqrt{7};2\sqrt{7}\)"
2815,"Сложить/вычесть корни: \(\sqrt{m^{3}-m^{2}n}-\sqrt{\left ( m+n \right )\left ( m^{2}-n^{2} \right )}-\sqrt{mn^{2}-n^{3}}\)","\(-2n\sqrt{m-n}\)",76,"\(\sqrt{m^{3}-m^{2}n}-\sqrt{\left ( m+n \right )\left ( m^{2}-n^{2} \right )}-\sqrt{mn^{2}-n^{3}}=-2n\sqrt{m-n}\)"
2820,"Произвести указанные действия над корнями: \(\sqrt{3}\cdot \sqrt{27}\)","9",77,"\(\sqrt{3}\cdot \sqrt{27}=\sqrt{3\cdot 27}=\sqrt{81}=9\)"
2836,"Произвести указанные действия над корнями: \(\frac{x}{a}\sqrt[3]{\frac{a^{2}}{x}}\cdot \frac{1}{4}a\sqrt[3]{\frac{8a}{x^{4}}}\)","\(\frac{a\sqrt[3]{x}}{2x}\)",77,"\(\frac{x}{a}\sqrt[3]{\frac{a^{2}}{x}}\cdot \frac{1}{4}a\sqrt[3]{\frac{8a}{x^{4}}}=x\sqrt[3]{\frac{a^{2}}{x}}\cdot \frac{1}{4}\cdot \frac{2\sqrt[3]{a}}{\sqrt[3]{x}}=\frac{\sqrt[3]{a^{3}}}{2\sqrt[3]{x^{2}}}=\frac{a\sqrt[3]{x}}{2x}\)"
2837,"Произвести указанные действия над корнями: \(\frac{12a^{3}}{5x^{2}}\sqrt[4]{\frac{a^{7}x}{32}}\cdot \frac{10x^{3}}{3a^{2}}\sqrt[4]{\frac{4}{a^{3}x}}\)","\(4a^{2}x\sqrt[4]{2}\)",77,"\(\frac{12a^{3}}{5x^{2}}\sqrt[4]{\frac{a^{7}x}{32}}\cdot \frac{10x^{3}}{3a^{2}}\sqrt[4]{\frac{4}{a^{3}x}}=4a\sqrt[4]{\frac{a^{7}x}{32}}\cdot 2\sqrt[4]{\frac{4}{a^{3}x}}=8ax\sqrt[4]{\frac{4a^{7}x}{32a^{3}x}}=4a^{2}x\sqrt[4]{2}\)"
2850,"Произвести указанные действия над корнями: \(\sqrt[4]{a^{3}b}\cdot \sqrt[6]{ab^{4}}\)","\(\sqrt[12]{a^{11}b^{11}}\)",77,"\(\sqrt[4]{a^{3}b}\cdot \sqrt[6]{ab^{4}}=\sqrt[12]{\left ( a^{3}b \right )^{3}\left ( ab^{4} \right )^{2}}=\sqrt[12]{a^{9}b^{3}a^{2}b^{8}}=\sqrt[12]{a^{11}b^{11}}\)"
2880,"Произвести указанные действия над корнями: \(6a^{2}\sqrt{3a^{-1}b}:2a^{3}\sqrt[3]{2ab^{-1}}\)","\(\frac{3}{2a^{2}}\sqrt[6]{432ab^{3}}\)",77,"\(6a^{2}\sqrt{3a^{-1}b}:2a^{3}\sqrt[3]{2ab^{-1}}=3a^{2}\sqrt[6]{3a^{3}^{-1^{3}}b^{3}}:a^{3}\sqrt[6]{2^{2}a^{3}b^{-1^{2}}}=\frac{3}{2a^{2}}\sqrt[6]{432ab^{3}}\)"
3509,"Верно ли, что \(\lim_{n \to \propto} x_{n}=+\propto\), если  все члены последовательноти   \(\left \{ x_{n} \right \}\) - натуральные числа?   ","Нет",60,"Например  поледовательность с общим членом \(x_{n}=1.  \)"
3509,"Верно ли, что \(\lim_{n \to \propto} x_{n}=+\propto\), если  все члены последовательноти   \(\left \{ x_{n} \right \}\) - натуральные числа?   ","Нет",59,"Например  поледовательность с общим членом \(x_{n}=1.  \)"
3509,"Верно ли, что \(\lim_{n \to \propto} x_{n}=+\propto\), если  все члены последовательноти   \(\left \{ x_{n} \right \}\) - натуральные числа?   ","Нет",58,"Например  поледовательность с общим членом \(x_{n}=1.  \)"
3509,"Верно ли, что \(\lim_{n \to \propto} x_{n}=+\propto\), если  все члены последовательноти   \(\left \{ x_{n} \right \}\) - натуральные числа?   ","Нет",57,"Например  поледовательность с общим членом \(x_{n}=1.  \)"
3982,"Вычислите: \(49 : 0,7\)","70",8,"NaN"
4001,"Вычислите: \(158\cdot 0,5\)","79",8,"NaN"
4004,"Вычислите: \(1008\cdot 0,25\)","252",8,"NaN"
4007,"Вычислите: \(3,4\cdot 300\)","1020",8,"NaN"
4019,"Вычислите рациональным способом: \(13,7\cdot 0,2\cdot 5\)","13.7",8,"NaN"
4022,"Вычислите рациональным способом: \(2,5\cdot 0,0034\cdot 400\)","3.4",8,"NaN"
4535,"Найдите:  0,4% от 55 ","0.22",30,"NaN"
5648,"Упростите и найдите значение выражения: \(\frac{-x^{2}+5x}{1-6x}+\frac{41x^{2}-2x}{6x-1} при x=\frac{1}{28}\)","\(\frac{1}{4}\)",85,"\(\frac{-x^{2}+5x}{1-6x}+\frac{41x^{2}-2x}{6x-1}=\frac{-x^{2}+5x}{1-6x}-\frac{41x^{2}-2x}{1-6x}=\frac{-x^{2}+5x-41x^{2}+2x}{1-6x}=\frac{-42x^{2}+7x}{1-6x}=\frac{7x-42x^{2}}{1-6x}=\frac{7x(1-6x)}{1-6x}-7; x=\frac{1}{28}; 7x=7 \cdot \frac{1}{28}= \frac{7}{28}=\frac{1}{4}\)"
5654,"Упростите выражение: \(\frac{x^{3}-3}{(x-2)^{4}}-\frac{5x-1}{(x-2)^{4}}+\frac{4m-9}{(1+2m)^{2}}\)","\(\frac{1}{(x-2)^{2}}\)",85,"\(\frac{x^{3}-3}{(x-2)^{4}}-\frac{5x-1}{(x-2)^{4}}+\frac{4m-9}{(1+2m)^{2}}=\frac{x^{2}-3-5x+1+x+6}{(x-2)^{4}}=\frac{x^{2}-4x+4}{(x-2)^{4}}=\frac{(x-2)^{2}}{(x-2)^{4}}=\frac{1}{(x-2)^{2}}\)"
5667,"Выполните сложение (вычитание) алгебраических дробей: \(\frac{x}{5}+\frac{2x}{3}\)","\(\frac{13x}{15}\)",85,"\(\frac{x}{5}+\frac{2x}{3}=\frac{3x}{15}+\frac{10x}{15}=\frac{3x+10x}{15}=\frac{13x}{15}\)"
5673,"Выполните сложение (вычитание) алгебраических дробей: \(\frac{3-z}{12}-\frac{3z-5}{8}\)","\(\frac{21-11z}{24}\)",85,"\(\frac{3-z}{12}-\frac{3z-5}{8}=\frac{2(3-z)}{24}-\frac{3(3z-5)}{24}=\frac{6-2z-9z+15}{24}=\frac{21-11z}{24}\)"
5697,"Упростите выражение: \(\frac{3mn+2n^{2}}{mn}-\frac{m+2n}{m}+\frac{m-2n}{n}\)","\(\frac{m}{n}\)",85,"\(\frac{3mn+2n^{2}}{mn}-\frac{m+2n}{m}+\frac{m-2n}{n}=\frac{3mn+2n^{2}}{mn}-\frac{n(m+2n)}{mn}+\frac{m(m-2n)}{mn}=\frac{3mn+2n^{2}-mn-2n^{2}+m^{2}-2mn}{mn}=\frac{m^{2}}{mn}=\frac{m}{n}\)"
5709,"Найдите область определения алгебраических дробей и выполните указанные действия: \(x+y-\frac{x^{2}+y^{2}}{x-y}\)","\(x \neq y\)",85,"\(x+y-\frac{x^{2}+y^{2}}{x-y}=\frac{(x+y)(x-y)-x^{2}-y^{2}}{x-y}=\frac{x^{2}-y^{2}-x^{2}-y^{2}}{x-y}=\frac{-2xy^{2}}{x-y}; x-y \neq 0, x \neq y\)"
5722,"Найдите область определения алгебраических дробей и выполните указанные действия: \(\frac{m+2n}{n(m+n)}+\frac{n}{m(m+n)}\)","\(m \neq -n\)",85,"\(\frac{m+2n}{n(m+n)}+\frac{n}{m(m+n)}=\frac{m(m+2n)+n^{2}}{mn(m+n)}=\frac{m^{2}+2mn+n^{2}}{mn(m+n)}=\frac{(m+n)^{2}}{mn(m+n)}=\frac{m+n}{mn}; n \neq 0, m \neq 0; m \neq -n\)"
5730,"Упростите выражение: \(\frac{a-3}{a+3}-\frac{a+2}{a-2}\)","\(-\frac{10a}{(a+3)(a-2)}\)",85,"\(\frac{a-3}{a+3}-\frac{a+2}{a-2}=\frac{(a-3)(a-2)-(a+2)(a+3)}{(a+3)(a-2)}=\frac{a^{2}-2a-3a+6-(a^{2}+3a+2a+6)}{(a+3)(a-2)}=\frac{a^{2}-5a+6-a^{2}-5a-6}{(a+3)(a-2)}=-\frac{10a}{(a+3)(a-2)}\)"
5737,"Упростите выражение: \(\frac{x^{2}=3xy}{(x+y)(x-y)}+\frac{y}{x-y}\)","\(\frac{x-y}{x+y}\)",85,"\(\frac{x^{2}=3xy}{(x+y)(x-y)}+\frac{y}{x-y}=\frac{x^{2}-3xy+y(x+y)}{(x+y)(x-y)}=\frac{x^{2}-3xy+xy+y^{2}}{(x+y)(x-y)}=\frac{x^{2}-2xy+y^{2}}{(x+y)(x-y)}=\frac{(x-y)^{2}}{(x+y)(x-y)}=\frac{x-y}{x+y}\)"
5744,"Упростите выражение: \(\frac{4-18x}{(3x-2)(3x+2)}-\frac{3x}{2-3x}\)","\(\frac{3x-2}{3x+2}\)",85,"\(\frac{4-18x}{(3x-2)(3x+2)}-\frac{3x}{2-3x}=\frac{4-18x}{(3x-2)(3x-+2)}+\frac{3x}{3x-2}=\frac{4-18x+3x(3x+2)}{(3x-2)(3x+2)}=\frac{4-18x+9x^{2}+6x}{(3x-2)(3x+2)}=\frac{9x^{2}-12x+4}{(3x-2)(3x+2)}=\frac{(3x-2)^{2}}{(3x-2)(3x+2)}=\frac{3x-2}{3x+2}\)"
5745,"Упростите выражение: \(\frac{4b}{(a-b)(a+b)}+\frac{a-b}{a(a+b)}\)","\(\frac{a+b}{a(a-b)}\)",85," \(\frac{4b}{(a-b)(a+b)}+\frac{a-b}{a(a+b)}=\frac{4ab+(a-b)(a-b)}{a(a-b)(a+b)}=\frac{4ab+(a-b)^{2}}{a(a-b)(a+b)}=\frac{4ab+(a-b)^{2}}{a(a-b)(a+b)}=\frac{4ab+a^{2}-2ab+b^{2}}{a(a-b)(a+b)}=\frac{a^{2}+2ab+b^{2}}{a(a-b)(a+b)}=\frac{(a+b)^{2}}{a(a-b)(a+b)}=\frac{a+b}{a(a-b)}\)"
